"ID","Reads","FinalKingdom","FinalPhylum","FinalClass","FinalOrder","FinalFamily","FinalGenus","FinalSpecies","Calcify","TaxaFrequency","Acid1","Acid15","Acid25","Acid36","Acid39","Acid7","AcidHeat16","AcidHeat20","AcidHeat21","AcidHeat24","AcidHeat33","AcidHeat4","Control10","Control17","Control23","Control26","Control9","Heat18","Heat22","Heat3","Heat31","Heat8"
"OTU_339",206,"Metazoa","ARTHROPODA","Hexanauplia","Harpacticoida","Miraciidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,118,0,24,0,0,0,0,0,0,0,0
"OTU_340",621,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0
"OTU_346",189,"Metazoa","PORIFERA","Demospongiae","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0
"OTU_35",45315,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Cirratulidae","Timarete","","No",2,0,0,0,0,0,0,0,0,15,366,0,0,0,725,0,0,0,687,27,20803,3751,0
"OTU_350",174,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0
"OTU_351",163,"Plantae","RHODOPHYTA","","","","","","UNK",6,0,0,0,0,0,0,0,46,11,0,16,0,0,0,0,0,0,23,0,0,0,0
"OTU_354",169,"Metazoa","PORIFERA","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Niphatidae sp.8 PRT-2020","No",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0
"OTU_355",375,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,22,0,0,95,65,66,36
"OTU_358",193,"Metazoa","MOLLUSCA","Gastropoda","","Cerithiidae","","","No",6,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_36",53505,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","","Yes",2,1140,1561,243,0,599,393,0,1158,1938,294,4648,1274,0,2020,1259,22,0,106,102,49,19220,0
"OTU_360",163,"Plantae","RHODOPHYTA","Florideophyceae","Corallinales","Corallinaceae","","","Yes",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
"OTU_361",648,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,24,0,0,0,0,0,0,0,11,0,259,0,0,0,0,0,39,0,86,0,90
"OTU_365",472,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","Eusyllis","","No",2,0,0,4,18,0,9,17,0,0,43,0,0,0,9,0,0,0,0,11,0,91,63
"OTU_366",252,"Metazoa","CNIDARIA","Hydrozoa","","","","","No",5,0,0,58,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
"OTU_369",266,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0
"OTU_37",28516,"Metazoa","ANNELIDA","Polychaeta","Spionida","Spionidae","","","Yes",3,128,0,0,0,2557,38,237,117,13,2501,232,1567,1740,1025,227,31,974,401,46,192,7682,1453
"OTU_372",245,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0
"OTU_38",22565,"Metazoa","ANNELIDA","","","","","","UNK",6,1783,1707,0,0,0,0,0,46,17,898,0,6094,0,408,0,56,10950,107,33,381,0,0
"OTU_385",165,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"OTU_39",45597,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","Amphipholis squamata","Yes",1,514,3681,1612,0,0,197,0,44,21,33,0,0,0,147,109,45,0,1504,65,1367,14230,4556
"OTU_396",260,"Metazoa","ARTHROPODA","","","","","","UNK",6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0
"OTU_4",103551,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,3404,302,0,653,1222,673,0,6308,11,98,3061,2072,0,11748,1980,65,5897,463,51,5469,26612,2780
"OTU_40",20004,"Metazoa","ANNELIDA","Polychaeta","Sedentaria","Chaetopteridae","Phyllochaetopterus","","No",2,8871,5224,0,0,0,256,0,14,0,53,0,0,4994,0,0,55,36,127,0,212,0,109
"OTU_402",138,"Metazoa","ARTHROPODA","Ostracoda","Podocopida","Cyprididae","Stenocypris","","Mild",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,0,44
"OTU_414",111,"Plantae","RHODOPHYTA","Florideophyceae","Gigartinales","","","","No",4,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,37,0,0,0,0
"OTU_422",109,"Plantae","RHODOPHYTA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"OTU_426",157,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"OTU_428",128,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Trichobranchidae","Terebellides","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
"OTU_43",38604,"Metazoa","ANNELIDA","Polychaeta","","Orbiniidae","Naineris","","No",2,71,0,0,0,0,94,774,138,30,10063,1667,1519,50,58,0,0,1377,0,40,252,10838,998
"OTU_430",90,"Plantae","RHODOPHYTA","Florideophyceae","Gigartinales","","","","No",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,32,0,0,0,0
"OTU_433",166,"Plantae","RHODOPHYTA","Florideophyceae","Corallinales","Corallinaceae","","","Yes",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,40,0,0,0,0
"OTU_438",163,"Metazoa","NEMERTEA","Pilidiophora","Heteronemertea","","","","No",4,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,99
"OTU_439",107,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,77,0,0
"OTU_44",18817,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista","Yes",1,34,498,0,0,343,123,0,13,0,39,1533,0,526,0,47,1266,0,657,202,866,5749,425
"OTU_440",201,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
"OTU_441",115,"Metazoa","CNIDARIA","","","","","","No",6,0,0,12,0,0,0,0,0,0,0,20,0,0,0,10,31,0,0,0,0,0,0
"OTU_445",89,"Metazoa","PORIFERA","Demospongiae","Haplosclerida","Chalinidae","Haliclona","","No",2,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,29,0,0,0,0
"OTU_447",115,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_449",96,"Metazoa","PORIFERA","Demospongiae","Poecilosclerida","","","","No",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"OTU_45",20611,"Metazoa","PORIFERA","Demospongiae","Suberitida","Suberitidae","Protosuberites","","No",2,0,209,0,0,0,0,37,0,0,0,0,135,8053,52,3269,0,1928,27,63,41,3518,180
"OTU_451",136,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Trichobranchidae","Terebellides","","No",2,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,64,0,0,0,36
"OTU_452",147,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
"OTU_454",77,"Metazoa","PORIFERA","Demospongiae","Poecilosclerida","","","","No",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"OTU_458",117,"Plantae","OCHROPHYTA","","","","","","No",6,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,21,0,39,0,0,0,0
"OTU_467",95,"Metazoa","ARTHROPODA","Hexanauplia","Siphonostomatoida","","","","No",4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"OTU_468",125,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,69,0,0,0,0,0,0
"OTU_470",99,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,50,0,0
"OTU_472",88,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"OTU_473",94,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"OTU_478",99,"Metazoa","BRYOZOA","","","","","","No",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
"OTU_482",89,"Plantae","OCHROPHYTA","Phaeophyceae","Ectocarpales","","","","No",4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,30,0,0,0,0,0
"OTU_486",233,"Metazoa","ANNELIDA","","","","","","No",5,16,14,0,0,0,0,0,9,4,0,0,0,0,26,0,0,0,37,0,0,0,0
"OTU_487",350,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,70,22,0,0,0,0,0,0,7,16,0,0,0,0,0,0,21,0,11,43,0,49
"OTU_49",15626,"Metazoa","PORIFERA","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","","No",2,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,67,7351,0
"OTU_492",205,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","","","","No",4,0,0,0,57,0,11,0,0,8,47,0,0,36,24,0,0,0,0,0,0,0,0
"OTU_496",66,"Plantae","RHODOPHYTA","","","","","","UNK",6,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,25,0,0,0,0
"OTU_5",62063,"Plantae","RHODOPHYTA","Florideophyceae","Ceramiales","","","","No",4,0,117,8,89,48,12,1866,7217,2095,2778,1006,63,520,640,201,8460,419,6444,1035,6965,6033,1965
"OTU_506",69,"Metazoa","PORIFERA","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp.2 JV-2020","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"OTU_507",102,"Metazoa","MOLLUSCA","","","","","","No",6,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_508",138,"Plantae","RHODOPHYTA","Florideophyceae","Gelidiales","Pterocladiaceae","","","No",3,0,0,0,0,0,0,0,30,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"OTU_51",20452,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,0,0,0,28,0,1494,0,780,0,0,0,1620,0,0,0,0,8645,0
"OTU_510",105,"Metazoa","CHORDATA","Ascidiacea","","","","","No",5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,55,0,0,0
"OTU_511",196,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","","","No",3,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_514",775,"Metazoa","PORIFERA","Demospongiae","Suberitida","Suberitidae","Protosuberites","","No",2,0,0,30,24,0,0,0,77,0,0,0,0,0,0,0,63,60,53,0,0,196,0
"OTU_521",216,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,41,35,0,69,0
"OTU_524",93,"Metazoa","PORIFERA","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp.3 JV-2020","No",2,0,0,0,0,0,0,0,50,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_526",85,"Metazoa","GASTROTRICHA","","Chaetonotida","Chaetonotidae","","","No",3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_535",80,"Metazoa","MOLLUSCA","Gastropoda","Lepetellida","Fissurellidae","Diodora","","Yes",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
"OTU_538",141,"Metazoa","CNIDARIA","Hydrozoa","Leptothecata","Campanulariidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,84
"OTU_546",124,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","","","No",3,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
"OTU_55",20253,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,67,0,7221,0
"OTU_557",192,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Cirratulidae","Timarete","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
"OTU_558",132,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,20,0,12,66,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_56",36202,"Metazoa","ANNELIDA","Polychaeta","Eunicida","Dorvilleidae","Dorvillea","","No",2,1879,346,15,1838,407,2147,335,0,0,13,458,343,0,603,109,566,67,767,1057,203,11807,1591
"OTU_560",214,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,150,0,0,0,0,0,0
"OTU_563",233,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,96,46
"OTU_565",62,"Plantae","RHODOPHYTA","Florideophyceae","Palmariales","Palmariaceae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
"OTU_567",280,"Metazoa","ANNELIDA","Polychaeta","Eunicida","Eunicidae","Nematonereis","Nematonereis unicornis","No",1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,38,0,0,170,0
"OTU_568",70,"Plantae","OCHROPHYTA","Phaeophyceae","Dictyotales","Dictyotaceae","Dictyota","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
"OTU_569",64,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_570",83,"Metazoa","MOLLUSCA","Gastropoda","Lepetellida","Fissurellidae","Diodora","","Yes",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"OTU_575",53,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_58",13943,"Metazoa","PORIFERA","Homoscleromorpha","Homosclerophorida","Plakinidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,569,6588,0
"OTU_582",51,"Metazoa","CNIDARIA","Anthozoa","Actiniaria","Aiptasiidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"OTU_588",75,"Metazoa","MOLLUSCA","Bivalvia","Mytiloida","Mytilidae","","","Yes",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"OTU_590",64,"Metazoa","CNIDARIA","Hydrozoa","Leptothecata","Campanulariidae","","","No",3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"OTU_591",57,"Metazoa","PORIFERA","Demospongiae","Poecilosclerida","Coelosphaeridae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OTU_6",99299,"Metazoa","PORIFERA","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakortis","Plakortis sp. 1 JV-2020","No",2,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,65706,0,0,0
"OTU_602",59,"Metazoa","PORIFERA","Demospongiae","Poecilosclerida","","","","No",4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"OTU_61",13297,"Metazoa","MOLLUSCA","Gastropoda","Littorinimorpha","Vermetidae","Cupolaconcha","Cupolaconcha meroclista","Yes",1,0,0,0,0,0,10,0,1979,0,0,0,0,2593,114,0,769,0,53,0,719,3430,57
"OTU_613",41,"Plantae","RHODOPHYTA","Florideophyceae","Gigartinales","Hypneaceae","Hypnea","","No",2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_616",58,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"OTU_63",27185,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","","Yes",2,736,224,80,348,199,1905,2436,20,1200,2315,1386,3698,74,0,329,180,442,3001,36,1769,1016,1543
"OTU_64",11765,"Metazoa","ARTHROPODA","","","","","","UNK",6,974,856,123,810,1401,419,381,0,25,0,0,507,49,19,0,713,80,1096,11,206,0,2099
"OTU_646",35,"Metazoa","CNIDARIA","Hydrozoa","Leptothecata","","","","No",4,0,0,0,0,0,0,0,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0
"OTU_647",79,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","Eusyllis","","No",2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0
"OTU_655",40,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"OTU_66",22115,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis","","Yes",2,0,0,0,766,0,0,0,28,0,0,0,224,954,0,0,918,0,282,0,0,9726,27
"OTU_676",113,"Metazoa","CNIDARIA","Staurozoa","Stauromedusae","Haliclystidae","Haliclystus","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
"OTU_677",77,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,0,0,0,0,5,0,37,0,0,0,0,25,0,0,0,0,0,0
"OTU_686",36,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_692",62,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"OTU_7",119680,"Metazoa","ANNELIDA","Polychaeta","Amphinomida","Amphinomidae","Pareurythoe","","No",2,6243,4107,111,781,2735,0,291,1683,355,1888,6616,8814,12,40,2017,261,182,242,122,342,42023,0
"OTU_700",64,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"OTU_71",23815,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,0,22824,0,0,0,0,0,0,0,0,468,0,0,0,12,0,0,492
"OTU_716",60,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,16,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_722",44,"Metazoa","PORIFERA","Demospongiae","Haplosclerida","Chalinidae","Haliclona","","No",2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_752",38,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","","","No",3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
"OTU_758",81,"Metazoa","ARTHROPODA","Hexanauplia","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
"OTU_765",44,"Plantae","RHODOPHYTA","Florideophyceae","","","","","UNK",5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_771",37,"Metazoa","CNIDARIA","","","","","","No",6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_788",39,"Metazoa","ARTHROPODA","Hexanauplia","Harpacticoida","","","","No",4,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_79",7599,"Metazoa","ANNELIDA","","","","","","UNK",6,0,119,30,0,78,76,0,0,0,684,177,604,77,143,0,418,22,798,164,1411,685,162
"OTU_80",13752,"Metazoa","MOLLUSCA","Gastropoda","","","","","Yes",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8828,0,0,0,0
"OTU_802",85,"Metazoa","ARTHROPODA","Malacostraca","Decapoda","Palaemonidae","","","Mild",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"OTU_81",6819,"Metazoa","CNIDARIA","Anthozoa","Actiniaria","Aiptasiidae","Aiptasia","Aiptasia pulchella","No",1,26,60,11,306,551,12,436,12,39,84,182,34,162,107,10,61,143,352,73,0,1703,477
"OTU_814",57,"Metazoa","GASTROTRICHA","","Chaetonotida","Chaetonotidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_82",15376,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","","Yes",2,1310,124,109,105,0,951,144,0,364,0,197,0,0,0,260,55,0,1439,14,2494,1569,1648
"OTU_826",27,"Metazoa","ARTHROPODA","Malacostraca","Decapoda","","","","Mild",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"OTU_83",16988,"Metazoa","ECHINODERMATA","Ophiuroidea","Ophiurida","Amphiuridae","Amphipholis","","Yes",2,84,1166,0,0,0,0,61,158,16,0,294,1046,0,0,0,81,0,25,0,5460,2901,0
"OTU_85",8832,"Metazoa","ANNELIDA","Polychaeta","Terebellida","Terebellidae","","","No",3,6603,0,24,19,0,0,0,7,46,212,587,93,17,15,14,180,26,36,21,434,70,110
"OTU_863",26,"Metazoa","ANNELIDA","Polychaeta","","","","","No",5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"OTU_88",5849,"Metazoa","PORIFERA","Homoscleromorpha","Homosclerophorida","Plakinidae","","","No",3,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,907,0,0,0,0,2584,0
"OTU_90",6276,"Metazoa","ANNELIDA","Polychaeta","","Orbiniidae","Naineris","","No",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3986,0,0
"OTU_907",13,"Metazoa","PORIFERA","Demospongiae","Tethyida","Tethyidae","Tethya","","No",2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_92",5507,"Metazoa","PORIFERA","Demospongiae","Suberitida","","","","No",4,0,34,0,43,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0
"OTU_93",13630,"Metazoa","ANNELIDA","","","","","","UNK",6,0,0,0,0,0,0,0,114,10,0,349,1193,0,0,0,21,1007,3914,11,50,2495,0
"OTU_931",59,"Metazoa","ANNELIDA","Polychaeta","Phyllodocida","Syllidae","","","No",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"OTU_94",6021,"Metazoa","ANNELIDA","Polychaeta","Spionida","Spionidae","Laonice","","Yes",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3070,0
"OTU_946",34,"Metazoa","CNIDARIA","Anthozoa","Scleractinia","Poritidae","Porites","Porites sp.","Yes",1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_951",40,"Metazoa","ARTHROPODA","","","","","","UNK",6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97",6826,"Metazoa","ARTHROPODA","Ostracoda","Podocopida","Bairdiidae","Paranesidea","","Mild",2,0,14,0,74,0,0,17,31,159,103,49,484,131,769,181,345,602,247,38,1770,126,249
"OTU_973",20,"Metazoa","ARTHROPODA","Ostracoda","Podocopida","","","","Mild",4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_99",4671,"Metazoa","ANNELIDA","Polychaeta","","Orbiniidae","Naineris","","No",2,0,0,0,0,0,0,0,12,0,0,0,0,104,0,655,0,0,2248,47,75,248,0
